Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
Brighton Heights,13,2206.0,159.125736448,14.0,33.6005952328,6.0,25.7681974534,0.0,26.4575131106,14.0,27.5680975042,24.0,31.9530906173,22.0,34.292856399,55.0,37.1618083522,79.0,53.9814783052,47.0,33.674916481,108.0,47.8016736109,263.0,89.5991071384,222.0,69.7638875063,240.0,77.8460018242,399.0,92.983869569,330.0,94.1966029111,219.0,84.6758525201,117.0,55.054518434,29.0,36.3042697213,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,18.0,29.478805946,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106
Brookline,14,4245.0,300.141633234,47.0,50.2593274926,47.0,49.6890329951,6.0,38.4837628097,39.0,46.882832679,10.0,39.0,15.0,44.4522215419,49.0,54.1940956192,71.0,56.973678133,206.0,80.1124210094,428.0,133.480335631,670.0,153.306881777,672.0,154.139547163,619.0,168.484420645,675.0,155.041929812,306.0,99.7847683766,160.0,66.7832314283,74.0,57.6714834211,45.0,48.0208288143,23.0,45.3541618819,42.0,53.2728824076,0.0,38.729833462,10.0,41.521078984,23.0,53.3291665038,0.0,38.729833462,0.0,38.729833462,8.0,39.2937654088
California-Kirkbride,15,114,29,0,10,7,8,0,10,8,9,0,10,11,12,6,9,0,10,31,20,0,10,3,6,0,10,0,10,30,26,0,10,5,7,6,11,7,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Carrick,16,2624.0,215.995370319,11.0,35.8468966579,46.0,45.8911756222,43.0,63.2455532033,22.0,38.3927076409,56.0,46.8614980554,65.0,44.7325384927,112.0,48.8466989673,297.0,80.4984471899,385.0,104.273678366,347.0,89.3756118861,403.0,103.111590037,230.0,67.1788657244,197.0,97.4782026917,212.0,76.3871716978,28.0,39.0128184061,70.0,63.8827050146,15.0,36.510272527,48.0,59.4726828047,0.0,36.0555127546,9.0,38.5875627632,4.0,35.3411940942,24.0,38.4967531098,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546
Central Business District,17,397.0,98.1580358402,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,14.0,30.6757233004,0.0,24.4948974278,11.0,28.7054001889,30.0,40.6939798988,12.0,29.3428015022,0.0,24.4948974278,28.0,32.8633534503,19.0,31.0161248385,37.0,51.1468474102,0.0,24.4948974278,71.0,55.6866231693,33.0,33.615472628,16.0,26.7020598456,46.0,39.8246155035,58.0,54.4058820349,12.0,28.7054001889,10.0,26.9258240357,0.0,24.4948974278,0.0,24.4948974278
Central Lawrenceville,18,1015.0,117.443603486,0.0,24.4948974278,14.0,28.0891438104,0.0,24.4948974278,7.0,23.4307490277,8.0,25.3771550809,0.0,24.4948974278,9.0,24.4948974278,67.0,49.6890329953,78.0,33.941125497,48.0,42.5323406363,39.0,28.7402157265,70.0,49.497474683,23.0,28.4604989415,147.0,53.0565735796,99.0,57.5412895233,125.0,47.947888379,46.0,31.2729915422,83.0,40.2119385258,61.0,35.1567916625,58.0,35.9165699921,24.0,29.0688837074,9.0,25.8650343127,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Central Northside,19,541.0,80.9135340966,11.0,15.1657508881,0.0,17.3205080757,6.0,16.2480768093,0.0,17.3205080757,5.0,15.779733838,0.0,17.3205080757,0.0,17.3205080757,12.0,15.6843871414,17.0,23.4307490277,18.0,23.4307490277,5.0,15.779733838,9.0,17.9164728671,6.0,16.7630546142,49.0,30.2820078594,28.0,20.9761769634,48.0,35.0713558335,36.0,31.5911379979,87.0,34.6554469023,89.0,36.2904946232,89.0,35.6370593624,26.0,17.5499287748,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Central Oakland,20,193.0,55.5787729264,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,26.0,29.5972971739,19.0,25.3179778023,12.0,27.0,62.0,33.9705755029,11.0,20.6155281281,40.0,19.2093727123,0.0,17.3205080757,7.0,19.2093727123,8.0,18.547236991,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,8.0,19.2093727123
Chartiers City,21,186,55,0,10,8,13,0,10,0,10,0,10,3,5,13,15,16,17,13,15,50,51,0,10,30,23,10,15,38,33,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Chateau,22,3,3,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,3,0,10,0,10,0,10,0,10
Crafton Heights,23,1034.0,115.836091094,0.0,20.0,9.0,17.6918060129,28.0,33.7786915081,13.0,18.3303027798,26.0,27.892651362,31.0,25.3968501984,39.0,32.6343377442,6.0,19.0787840284,102.0,45.1331363856,77.0,35.4118624192,155.0,65.023072828,165.0,47.2228758125,110.0,48.1352261862,114.0,40.062451248,78.0,35.8747822293,42.0,28.9482296523,16.0,29.5972971739,18.0,22.1133443875,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,5.0,18.6815416922
Crawford-Roberts,24,226.0,58.5918083012,7.0,14.8660687473,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,15.6204993518,0.0,14.1421356237,0.0,14.1421356237,9.0,16.4012194669,31.0,29.7321374946,8.0,18.0277563773,32.0,28.2842712475,12.0,22.360679775,33.0,30.6757233004,15.0,20.591260282,0.0,14.1421356237,66.0,33.2415402772,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Duquesne Heights,25,837.0,109.635760589,7.0,15.6204993518,10.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,28.0,20.591260282,51.0,29.1547594742,74.0,38.4187454246,73.0,39.9624824054,150.0,87.3212459829,34.0,23.3238075794,93.0,58.6941223633,81.0,41.2310562562,70.0,53.2353266168,7.0,14.8660687473,24.0,25.4558441227,24.0,21.2602916255,62.0,38.4707681233,28.0,26.9072480941,5.0,12.8062484749,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237
East Allegheny,26,435.0,85.8020978765,8.0,16.4012194669,24.0,21.9317121995,15.0,19.7230829233,31.0,27.8567765544,0.0,14.1421356237,0.0,14.1421356237,38.0,43.1740662898,35.0,45.1220566907,23.0,23.4307490277,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,16.0,17.2046505341,7.0,15.6204993518,27.0,24.8394846967,41.0,27.2946881279,35.0,27.5862284483,23.0,24.1660919472,57.0,38.1837661841,48.0,29.6984848098,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237
East Carnegie,27,142,41,0,10,0,10,0,10,0,10,8,10,0,10,0,10,5,7,26,19,32,29,13,7,28,17,6,8,6,9,0,10,13,15,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,0,10
East Hills,28,561.0,122.743635273,0.0,17.3205080757,7.0,18.547236991,29.0,38.0263066837,14.0,19.7484176581,36.0,36.0693775938,35.0,29.8998327755,16.0,20.3224014329,100.0,56.665686266,42.0,30.8220700149,90.0,56.0089278597,55.0,43.3704968844,71.0,73.1573646327,25.0,28.7228132327,17.0,21.5638586529,8.0,18.547236991,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,8.0,17.9164728672,0.0,17.3205080757,8.0,18.547236991,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
East Liberty,29,427.0,108.425089347,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,20.0,32.0156211872,0.0,28.2842712474,35.0,58.3438085832,7.0,29.0516780926,30.0,35.2278299076,32.0,42.8135492571,17.0,27.6043474837,75.0,53.600373133,12.0,31.7017349683,11.0,30.9192496674,17.0,30.6594194335,8.0,29.0516780927,28.0,33.8526217596,26.0,34.4093010682,42.0,41.7731971485,24.0,35.3553390594,32.0,35.7770876399,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,11.0,31.4483703871,0.0,28.2842712474,0.0,28.2842712474
Elliott,30,563.0,91.4385039248,0.0,17.3205080757,0.0,17.3205080757,59.0,54.1571786562,22.0,24.4948974278,49.0,45.8693797647,71.0,40.2119385258,41.0,29.4108823397,91.0,37.3363094052,55.0,37.0270171631,62.0,37.148351242,39.0,26.0959767014,23.0,24.1039415864,7.0,17.9164728672,12.0,17.5499287748,7.0,17.3205080757,5.0,16.2480768093,0.0,17.3205080757,0.0,17.3205080757,9.0,15.6524758425,0.0,17.3205080757,11.0,23.6854385647,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Esplen,31,100,49,0,10,0,10,0,10,21,27,18,20,9,10,4,6,34,34,9,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fairywood,32,98,51,7,12,0,10,13,16,0,10,0,10,13,15,0,10,8,13,37,37,0,10,9,15,11,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fineview,33,237.0,58.0086200491,3.0,11.6619037897,0.0,14.1421356237,0.0,14.1421356237,7.0,12.8062484749,19.0,23.2594066992,12.0,10.0,14.0,18.0277563773,26.0,27.4590604355,10.0,10.0,20.0,25.079872408,29.0,31.4006369362,7.0,14.1421356237,8.0,7.81024967591,40.0,26.83281573,10.0,10.8166538264,24.0,22.1359436212,0.0,14.1421356237,4.0,11.6619037897,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,4.0,11.6619037897,0.0,14.1421356237,0.0,14.1421356237
Friendship,34,79.0,51.7397332811,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,15.0,20.591260282,35.0,38.9486841883,11.0,19.7230829233,11.0,21.4709105536,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Garfield,35,628.0,82.3771813065,54.0,28.4077454227,9.0,20.7364413533,24.0,32.8024389337,34.0,30.6920185065,11.0,21.0950231098,51.0,30.4138126515,24.0,23.0867927612,62.0,32.8329103188,44.0,23.4946802489,84.0,47.1062628532,51.0,29.0,17.0,17.7200451467,22.0,22.8910462845,30.0,25.6320112359,31.0,29.5803989155,40.0,32.3419232575,3.0,20.3960780543,12.0,22.4053565024,10.0,20.4205778566,5.0,18.2208671583,10.0,20.3224014329,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Glen Hazel,36,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Greenfield,37,1996.0,193.543276814,22.0,37.148351242,0.0,29.9999999999,14.0,37.094473982,24.0,45.0,0.0,29.9999999999,0.0,29.9999999999,10.0,32.0156211872,54.0,46.6690475583,29.0,41.0487515036,68.0,48.2700735446,145.0,73.9391641824,127.0,63.387695967,95.0,59.3885510852,345.0,108.438922901,246.0,96.7729300993,357.0,109.503424604,168.0,79.1138420252,209.0,88.8425573698,27.0,40.6693988153,25.0,39.7617907043,0.0,29.9999999999,18.0,40.5092582011,13.0,35.2278299076,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999
Hays,38,93,26,0,10,0,10,13,15,5,8,0,10,5,7,7,10,17,12,18,16,5,7,14,13,4,8,0,10,0,10,0,10,5,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Hazelwood,39,1016.0,145.485394455,19.0,26.8514431642,0.0,26.4575131106,49.0,40.4227658628,44.0,35.8747822293,52.0,42.6028168083,43.0,40.3608721412,52.0,49.0000000001,27.0,34.7275107084,64.0,46.3249392876,119.0,70.1569668671,62.0,36.0693775938,84.0,66.5507325279,53.0,43.520110294,85.0,63.8827050148,67.0,41.4728827066,75.0,57.2101389615,51.0,35.5668384876,32.0,36.5102725271,18.0,35.0,11.0,27.3861278752,0.0,26.4575131106,0.0,26.4575131106,9.0,27.7308492478,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106
Highland Park,40,1488.0,181.672782772,0.0,28.2842712474,8.0,28.6530975637,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,13.0,33.1662479036,0.0,28.2842712474,10.0,30.9192496674,0.0,28.2842712474,0.0,28.2842712474,60.0,61.5954543777,96.0,67.8085540327,32.0,46.2385120868,90.0,61.0245852095,129.0,84.864598037,155.0,67.0894924709,130.0,61.2943716829,67.0,45.1552876195,144.0,66.7982035687,327.0,101.098961419,166.0,80.8022276921,47.0,47.9895822028,0.0,28.2842712474,14.0,33.7786915081,0.0,28.2842712474,0.0,28.2842712474
Homewood North,41,540.0,83.7735041645,15.0,21.0950231098,1.0,20.2237484161,63.0,42.8135492572,76.0,39.0512483795,21.0,19.8997487421,80.0,44.2153819389,46.0,28.6530975638,122.0,48.1040538832,17.0,21.0,25.0,25.2586618806,13.0,21.3775583264,23.0,24.7588368063,5.0,21.5406592286,4.0,20.8806130178,5.0,21.5406592286,6.0,21.9317121995,17.0,24.4131112314,1.0,20.2237484161,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Homewood South,42,396.0,79.0632658066,27.0,26.7768556779,12.0,23.8746727726,0.0,24.4948974278,7.0,23.1516738056,19.0,24.1867732449,52.0,31.7175030543,25.0,28.4604989415,32.0,27.9284800876,26.0,30.9677251344,25.0,33.0000000001,27.0,26.8514431641,34.0,29.6479341607,14.0,24.9198715887,11.0,24.3515913238,21.0,29.4278779391,21.0,22.2036033113,4.0,23.4307490277,11.0,27.4954541697,6.0,24.1039415864,22.0,31.4006369362,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Homewood West,43,186.0,56.6038867923,14.0,24.1660919472,0.0,14.1421356237,37.0,28.3019433962,3.0,11.1803398875,17.0,25.079872408,17.0,17.2046505341,23.0,26.0,8.0,15.6204993518,16.0,14.8660687473,0.0,14.1421356237,8.0,13.4536240471,18.0,30.6757233004,13.0,22.360679775,7.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Knoxville,44,764.0,151.776150959,12.0,28.7054001889,26.0,30.6757233004,49.0,44.4634681508,111.0,74.8465096046,30.0,46.0108682813,22.0,31.5594676761,20.0,27.8747197295,157.0,86.8907359849,166.0,82.6498638837,67.0,63.1664467894,34.0,32.0156211872,14.0,32.0780298647,0.0,24.4948974278,36.0,40.877866872,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,20.0,30.7245829915,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Larimer,45,214.0,47.4657771452,4.0,18.6815416922,15.0,22.9128784748,33.0,30.0166620396,6.0,19.0787840283,15.0,16.7032930885,39.0,25.3968501984,10.0,16.7332005307,27.0,15.8429795178,24.0,18.574175621,8.0,17.4928556845,14.0,18.973665961,11.0,18.3303027798,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,4.0,18.0277563773,4.0,18.0277563773,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Lincoln Place,46,1283.0,137.91664149,0.0,22.360679775,10.0,25.6124969497,0.0,22.360679775,31.0,36.9999999999,10.0,24.4131112315,12.0,27.5862284483,14.0,22.9128784748,60.0,35.6791255498,166.0,77.6916983982,183.0,69.0941386805,189.0,59.4642749893,138.0,56.2938717801,86.0,54.8634668974,157.0,63.0793151516,110.0,63.2218316722,60.0,53.544374121,25.0,43.8292140016,17.0,25.6124969497,15.0,24.8394846967,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Lincoln-Lemington-Belmar,47,851.0,108.475803754,20.0,27.2029410174,27.0,30.7571129985,13.0,23.8746727726,36.0,41.1582312546,58.0,45.650848842,13.0,21.4709105536,41.0,27.946377225,160.0,55.1633936592,101.0,42.9767378939,125.0,54.4885309033,83.0,49.0000000001,57.0,31.4165561448,11.0,24.8596057892,45.0,34.5398320784,7.0,21.4709105536,11.0,23.3666428911,8.0,24.9198715887,13.0,24.9198715887,16.0,28.7054001888,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,6.0,24.4948974278
